0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:25 +0530] "GET /CenteralServer/theme/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:41 +0530] "GET /CenteralServer/pages/login.jsp HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:41 +0530] "GET /CenteralServer/pages/gallery.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:41 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:43 +0530] "POST /CenteralServer/pages/login.jsp HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:43 +0530] "GET /CenteralServer/pages/gallery.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:43 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:43 +0530] "GET /CenteralServer/pages/vehicle.jsp HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:43 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:44 +0530] "GET /CenteralServer/pages/addownervehicle.jsp HTTP/1.1" 200 7061
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:44 +0530] "GET /CenteralServer/pages/gallery.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:44 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:47 +0530] "GET /CenteralServer/pages/driverlist.jsp?userid=15 HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:48 +0530] "GET /CenteralServer/pages/addalert.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:29:49 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:50 +0530] "GET /CenteralServer/pages/addalert.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:50 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:50 +0530] "GET /CenteralServer/theme/looks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:50 +0530] "GET /CenteralServer/jquery.autocomplete-1.1.3/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:51 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:51 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:32:51 +0530] "GET /CenteralServer/theme/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:13 +0530] "GET /CenteralServer/pages/addalert.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:13 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:13 +0530] "GET /CenteralServer/theme/looks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:13 +0530] "GET /CenteralServer/jquery.autocomplete-1.1.3/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:14 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:14 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:34:14 +0530] "GET /CenteralServer/theme/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:35:03 +0530] "POST /CenteralServer/pages/tiles/save.jsp?method=addAlert HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:35:04 +0530] "GET /CenteralServer/pages/addalert.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:35:04 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:35:04 +0530] "GET /CenteralServer/theme/looks.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:16:35:04 +0530] "GET /CenteralServer/jquery.autocomplete-1.1.3/jquery-1.7.2.js HTTP/1.1" 304 -
